team,name,number,position,height_cm,weight_kg,nationality
부산 KCC 이지스,윤기찬,8.0,스몰 포워드,194.1,96.0,KOR
부산 KCC 이지스,김훈,12.0,스몰 포워드,193.0,90.3,KOR
부산 KCC 이지스,이찬영,13.0,포워드,192.0,82.0,KOR
부산 KCC 이지스,강태현,27.0,스몰 포워드,197.2,87.0,KOR
부산 KCC 이지스,김윤성,14.0,센터,198.6,90.0,KOR
부산 KCC 이지스,장재석,31.0,센터,203.4,96.0,KOR
부산 KCC 이지스,숀 롱,36.0,센터,205.0,118.0,USA
수원 KT 소닉붐,조환희,2.0,포인트 가드,181.3,72.0,KOR
수원 KT 소닉붐,김선형,5.0,포인트 가드/슈팅 가드,187.0,80.0,KOR
수원 KT 소닉붐,정창영,7.0,포인트 가드/슈팅 가드,193.0,90.0,KOR
수원 KT 소닉붐,박지원,9.0,포인트 가드/슈팅 가드,190.8,81.8,KOR
수원 KT 소닉붐,이현석,11.0,슈팅 가드,189.0,85.0,KOR
수원 KT 소닉붐,김준환,17.0,슈팅 가드,187.0,85.0,KOR
수원 KT 소닉붐,강성욱,77.0,포인트 가드,183.5,73.0,KOR
수원 KT 소닉붐,미구엘 안드레 옥존,99.0,포인트 가드,182.0,73.0,PHI
수원 KT 소닉붐,한희원,1.0,스몰 포워드,195.0,92.0,KOR
수원 KT 소닉붐,문성곤,10.0,스몰 포워드,195.6,95.0,KOR
수원 KT 소닉붐,문정현,12.0,스몰 포워드,194.2,96.8,KOR
수원 KT 소닉붐,박민재,14.0,스몰 포워드,193.4,80.0,KOR
수원 KT 소닉붐,서민수,98.0,포워드,196.2,92.0,KOR
수원 KT 소닉붐,전성현,97.0,스몰 포워드/슈팅 가드,188.6,85.0,KOR
수원 KT 소닉붐,패리스 배스,96.0,포워드,201.0,102.0,USA
수원 KT 소닉붐,하윤기,0.0,센터,203.5,100.0,KOR
수원 KT 소닉붐,이두원,21.0,센터,204.4,103.0,KOR
울산 현대모비스 피버스,박무빈,3.0,포인트 가드/슈팅 가드,184.4,80.0,KOR
울산 현대모비스 피버스,김동준,5.0,포인트 가드,175.0,70.0,KOR
울산 현대모비스 피버스,서명진,7.0,포인트 가드,189.7,77.1,KOR
울산 현대모비스 피버스,박정환,13.0,포인트 가드,180.2,77.0,KOR
울산 현대모비스 피버스,김건하,15.0,포인트 가드,174.3,75.0,KOR
울산 현대모비스 피버스,이도헌,19.0,포인트 가드,186.0,80.0,KOR
울산 현대모비스 피버스,김태완,24.0,포인트 가드,180.3,70.8,KOR
울산 현대모비스 피버스,최강민,35.0,슈팅 가드,188.0,88.0,KOR
울산 현대모비스 피버스,배병준,99.0,슈팅 가드,191.0,83.0,KOR
울산 현대모비스 피버스,정준원,1.0,스몰 포워드,193.0,84.0,KOR
울산 현대모비스 피버스,조한진,9.0,슈팅 가드/스몰 포워드,193.0,90.0,KOR
안양 정관장 레드부스터스,이대헌,21.0,파워 포워드/센터,195.2,98.0,KOR
울산 현대모비스 피버스,이승현,33.0,파워 포워드/센터,197.0,105.0,KOR
울산 현대모비스 피버스,이대균,23.0,센터,200.0,100.2,KOR
대구 한국가스공사 페가수스,샘조세프 벨란겔,0.0,포인트 가드/슈팅 가드,175.0,70.0,PHI
대구 한국가스공사 페가수스,정성우,3.0,포인트 가드,178.0,82.0,KOR
대구 한국가스공사 페가수스,우동현,5.0,포인트 가드/슈팅 가드,175.6,78.0,KOR
대구 한국가스공사 페가수스,권순우,17.0,슈팅 가드,186.0,88.5,KOR
대구 한국가스공사 페가수스,우상현,22.0,슈팅 가드/스몰 포워드,188.4,81.2,KOR
대구 한국가스공사 페가수스,양준우,23.0,포인트 가드,185.1,75.8,KOR
대구 한국가스공사 페가수스,양우혁,27.0,포인트 가드,178.0,68.4,KOR
대구 한국가스공사 페가수스,전현우,9.0,스몰 포워드,194.0,83.0,KOR
대구 한국가스공사 페가수스,양재혁,11.0,스몰 포워드,190.7,93.0,KOR
대구 한국가스공사 페가수스,김민규,13.0,스몰 포워드,196.0,88.3,KOR
대구 한국가스공사 페가수스,손준,24.0,파워 포워드/센터,198.5,103.2,KOR
대구 한국가스공사 페가수스,김국찬,30.0,스몰 포워드,190.0,90.0,KOR
대구 한국가스공사 페가수스,박준영,98.0,파워 포워드,195.4,99.6,KOR
대구 한국가스공사 페가수스,박준은,97.0,스몰 포워드,194.1,85.0,KOR
대구 한국가스공사 페가수스,최승욱B,96.0,스몰 포워드,190.7,84.0,KOR
대구 한국가스공사 페가수스,라건아,20.0,센터,200.5,111.0,KOR
대구 한국가스공사 페가수스,김준일,31.0,파워 포워드/센터,201.0,96.0,KOR
서울 삼성 썬더스,이관희,2.0,슈팅 가드,190.0,82.0,KOR
서울 삼성 썬더스,황영찬,3.0,가드,178.5,77.5,KOR
서울 삼성 썬더스,한호빈,5.0,포인트 가드,180.0,78.0,KOR
서울 삼성 썬더스,조준희,6.0,슈팅 가드,187.2,77.3,KOR
서울 삼성 썬더스,최성모,7.0,포인트 가드,186.4,82.0,KOR
서울 삼성 썬더스,이대성,43.0,포인트 가드/슈팅 가드,193.0,90.0,KOR
서울 삼성 썬더스,안세준,1.0,스몰 포워드,195.4,89.0,KOR
서울 삼성 썬더스,최현민,8.0,스몰 포워드/파워 포워드,195.0,100.0,KOR
서울 삼성 썬더스,신동혁,9.0,스몰 포워드,191.3,82.8,KOR
서울 삼성 썬더스,임동언,11.0,스몰 포워드,194.7,85.5,KOR
서울 삼성 썬더스,크리스 맥컬러,13.0,파워 포워드,206.0,98.0,USA
서울 삼성 썬더스,저스틴 구탕,18.0,스몰 포워드/슈팅 가드,188.0,83.0,PHI
서울 삼성 썬더스,이근휘,19.0,슈팅 가드/스몰 포워드,187.9,85.0,KOR
서울 삼성 썬더스,여준형,21.0,파워 포워드,197.4,95.0,KOR
서울 삼성 썬더스,이규태,23.0,파워 포워드,199.5,100.0,KOR
서울 삼성 썬더스,윤성원,27.0,파워 포워드,196.0,95.0,KOR
서울 삼성 썬더스,정성조,77.0,스몰 포워드,191.0,85.0,KOR
서울 삼성 썬더스,박진철,15.0,센터,200.0,111.0,KOR
서울 삼성 썬더스,케렘 칸터,35.0,센터,208.0,109.0,TUR
고양 소노 스카이거너스,조석호,1.0,포인트 가드,178.7,75.0,KOR
고양 소노 스카이거너스,박종하,3.0,슈팅 가드,184.3,78.2,KOR
