현재소속(파일),선수명,기록보유여부,보유시즌수
원주 DB,이윤수,Y,6
원주 DB,이정현,Y,15
원주 DB,이준희,Y,4
원주 DB,인승찬,Y,3
원주 DB,정호영,Y,4
원주 DB,정효근,Y,11
원주 DB,조은후,Y,6
원주 DB,최성원,Y,9
원주 DB,헨리 엘런슨,Y,1
원주 DB,레이션 해먼즈,Y,2
창원 LG,김선우,Y,1
창원 LG,김종호,Y,2
창원 LG,김준영,Y,1
창원 LG,문시윤,Y,2
창원 LG,박정현,Y,7
창원 LG,아셈 마레이,Y,5
창원 LG,양준석,Y,4
창원 LG,양홍석,Y,8
창원 LG,유기상,Y,3
창원 LG,윤원상,Y,5
창원 LG,이광진,Y,3
창원 LG,임정현,Y,1
창원 LG,장민국,Y,11
창원 LG,정인덕,Y,7
창원 LG,지용현,N,0
창원 LG,최형찬,Y,2
창원 LG,칼 타마요,Y,2
창원 LG,한상혁,Y,9
창원 LG,아치 굿윈,N,0
고양 소노,강지훈,Y,1
고양 소노,김진유,Y,9
고양 소노,박종하,Y,3
고양 소노,서동원,Y,2
고양 소노,소준혁,Y,2
고양 소노,신지원,Y,1
고양 소노,안정욱,Y,2
고양 소노,이근준,Y,2
고양 소노,이동엽,Y,11
고양 소노,이재도,Y,13
고양 소노,이정현B,Y,5
고양 소노,임동섭,Y,13
고양 소노,정희재,Y,13
고양 소노,조석호,Y,2
고양 소노,조재우,Y,2
고양 소노,최승욱,Y,12
고양 소노,케빈 켐바오,Y,2
고양 소노,스카티 제임스,N,0
고양 소노,조니 오브라이언트,Y,3
대구 한국가스공사,권순우,N,0
대구 한국가스공사,김국찬,Y,9
대구 한국가스공사,김민규,Y,1
대구 한국가스공사,김준일,Y,12
대구 한국가스공사,박준영,Y,8
대구 한국가스공사,박준은,Y,5
대구 한국가스공사,샘조세프 벨란겔,Y,4
대구 한국가스공사,손준,Y,2
대구 한국가스공사,양우혁,Y,1
대구 한국가스공사,양재혁,Y,5
대구 한국가스공사,양준우,Y,4
대구 한국가스공사,염유성,Y,2
대구 한국가스공사,우동현,Y,6
대구 한국가스공사,우상현,N,0
대구 한국가스공사,젼현우,Y,7
대구 한국가스공사,정성우,Y,10
대구 한국가스공사,최승욱B,Y,10
대구 한국가스공사,케베 알루마,Y,1
대구 한국가스공사,라건아,Y,14
부산 KCC,강태현,Y,1
부산 KCC,김동현,Y,5
부산 KCC,김윤성,Y,2
부산 KCC,김훈,Y,6
부산 KCC,서정현,Y,3
부산 KCC,숀 롱,Y,3
부산 KCC,윤기찬,Y,1
부산 KCC,이주영,Y,3
부산 KCC,이찬영,Y,1
부산 KCC,이현호,Y,1
부산 KCC,이호현,Y,11
부산 KCC,장재석,Y,13
부산 KCC,조혁재,N,0
부산 KCC,최준용,Y,10
부산 KCC,최진광,Y,5
부산 KCC,허웅,Y,11
부산 KCC,허훈,Y,9
부산 KCC,루이스 킹,N,0
부산 KCC,윌리엄 나바로,Y,1
서울 SK,김낙현,Y,8
서울 SK,김명진,Y,1
서울 SK,김수환,N,0
서울 SK,김형빈,Y,6
서울 SK,선상혁,Y,4
서울 SK,안성우,Y,1
서울 SK,안영준,Y,8
서울 SK,알빈 톨렌티노,Y,1
서울 SK,에디 다니엘,Y,1
서울 SK,오세근,Y,14
서울 SK,오재현,Y,6
서울 SK,이민서,Y,1
서울 SK,임현택,Y,1
서울 SK,자밀 워니,Y,7
서울 SK,전성환,Y,4
서울 SK,전준범,Y,12
서울 SK,최부경,Y,13
서울 SK,최원혁,Y,11
서울 SK,프레디,Y,1
서울 SK,아이재아 힉스,Y,4
